#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
537500,-135426.198752,314.997866092,368
540000,-136926.778971,313.422841266,368
542500,-135817.92528,310.717437174,368
545000,-135651.921779,315.732399579,368
547500,-135989.731074,315.715767698,368
550000,-136495.755242,316.585635925,368
552500,-135569.581011,315.614028167,368
555000,-134790.075713,312.300518045,368
557500,-136095.989174,317.026495454,368
560000,-136354.633869,313.73139199,368
562500,-136133.422198,316.035171187,368
565000,-136286.195209,318.279006722,368
567500,-135836.213752,316.413053419,368
570000,-135972.283468,316.231945572,368
572500,-137217.817212,318.637277269,368
575000,-136372.158218,318.451037172,368
577500,-135675.970982,312.765485424,368
580000,-136206.263852,316.441910389,368
582500,-136095.33847,312.878057205,368
585000,-135470.012372,315.326144294,368
587500,-136099.465216,316.66607033,368
590000,-136169.607658,316.134426284,368
592500,-137301.198695,314.820598097,368
595000,-136398.184138,311.742394788,368
597500,-135749.585699,313.801306784,367
600000,-135704.889812,313.288607571,367
602500,-136062.377487,312.266333896,367
605000,-136036.395257,320.699974685,367
607500,-136892.758432,316.199060162,367
610000,-136124.067491,316.43414372,367
612500,-136244.312045,310.557165618,367
615000,-135957.562859,313.5489979,367
617500,-136092.370633,313.089568244,367
620000,-136588.703627,313.466488149,367
622500,-136539.987447,313.041335226,367
625000,-136242.986506,318.442536364,367
627500,-136179.857698,312.824002698,367
630000,-136746.467855,312.404136741,367
632500,-135720.440503,311.223696328,367
635000,-136358.043496,312.388805791,367
637500,-136570.389351,311.883108649,367
640000,-135650.707342,312.415820361,367
642500,-135461.583796,314.720396118,367
645000,-136705.362729,316.273509228,367
647500,-136585.689872,313.520538684,367
650000,-136219.059292,317.152815793,367
652500,-136301.069949,314.900501666,366
655000,-135967.6303,310.973234551,366
657500,-135797.320715,312.082620433,366
660000,-135573.497483,310.164693195,366
662500,-136453.961837,318.232214523,366
665000,-136249.190894,316.674528195,366
667500,-135378.469046,314.766815608,366
670000,-136324.916035,310.738279316,366
672500,-135612.057726,316.926266401,366
675000,-136015.037672,318.711619436,366
677500,-135393.821706,311.972440988,366
680000,-135759.76348,313.732001988,366
682500,-136160.828367,311.326110185,366
685000,-135873.206744,310.87991367,366
687500,-136445.395731,311.009014534,366
690000,-135729.522109,318.593824444,366
692500,-137059.941914,315.482248147,366
695000,-135573.238547,307.683879182,366
697500,-136495.146635,313.965102864,366
700000,-135675.139787,312.767952138,366
702500,-135871.279372,314.272688044,366
705000,-136325.7724,313.426256306,366
707500,-136609.017243,311.718405797,366
710000,-135586.184681,321.232454676,366
712500,-135552.069081,312.545624445,366
715000,-136574.031707,315.239193249,366
717500,-136001.197147,311.28434028,365
720000,-135882.190692,312.280677863,365
722500,-135616.111825,311.209009517,365
725000,-135834.468728,311.414305629,365
727500,-136007.071682,319.647999763,365
730000,-136746.958023,312.666427689,365
732500,-136500.675905,313.33705557,365
735000,-136080.928612,309.314092539,365
737500,-135911.281717,312.799741063,365
740000,-136578.379741,314.579370271,365
742500,-136298.955655,312.250492264,365
745000,-135004.271166,311.560824916,365
747500,-135882.849532,316.127796883,365
750000,-136259.253566,316.244537651,365
752500,-135851.890026,317.064679932,365
755000,-135209.63768,314.770245449,365
757500,-134592.706514,310.96939014,365
760000,-135667.024878,316.402542487,365
762500,-136294.194163,313.711739615,365
765000,-136279.146512,314.41104574,365
767500,-136287.056379,315.130751923,365
770000,-136448.302557,313.854420648,365
772500,-136238.246131,318.482230433,365
775000,-135943.036952,312.896925976,365
777500,-135690.273231,311.590012455,365
780000,-134732.004922,314.278813458,365
782500,-136125.327909,316.630167668,365
785000,-136720.173598,314.485212166,365
787500,-135847.526068,314.855600803,365
790000,-136134.740061,311.544767891,365
792500,-136461.473344,313.175662824,365
795000,-136774.607392,315.298366034,365
797500,-136007.098492,315.459447103,365
800000,-136294.768041,316.432451744,365
802500,-135651.205464,317.09734003,365
805000,-136321.602307,310.437144956,365
807500,-135843.421225,311.724568073,365
810000,-136341.836027,312.663704124,365
812500,-135837.245103,319.979444123,365
815000,-136419.719407,312.377065993,365
817500,-137406.80702,314.994640109,365
820000,-136359.276501,316.795061919,365
822500,-136055.893475,311.876279763,365
825000,-135583.400636,312.841718026,365
827500,-135524.830181,315.845923747,365
830000,-135578.219271,314.177238587,365
832500,-135702.077907,315.1085198,365
835000,-135871.696945,314.0813753,365
837500,-136521.305546,314.247721276,365
840000,-136884.580909,314.174051669,365
842500,-135915.754013,315.512689419,365
845000,-135057.529174,314.144812908,365
847500,-136270.930203,312.412237634,365
850000,-135576.947665,314.893716546,365
852500,-135830.584027,316.271836669,365
855000,-136174.668209,318.345495652,365
857500,-135458.213876,313.941301363,365
860000,-136229.019823,313.317245569,365
862500,-135435.073501,316.274402813,365
865000,-135382.898617,311.842408761,365
867500,-135454.583997,314.226937836,365
870000,-135891.60421,309.285208477,365
872500,-136526.160402,312.107917124,365
875000,-136364.936384,318.342619104,365
877500,-135326.098858,317.514947226,365
880000,-135766.954756,316.841922744,365
882500,-135661.82521,316.981776197,365
885000,-135703.809406,314.428498257,365
887500,-135901.241795,312.334837241,365
890000,-135752.466449,315.938342276,365
892500,-135669.184588,317.481268201,365
895000,-135736.392676,315.362695571,365
897500,-135763.997545,313.256911153,365
900000,-135864.357012,316.721496716,365
902500,-136361.861771,312.273624521,365
905000,-136196.441735,312.265086931,365
