#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1752500,-120523.10287,312.25916052,367
1755000,-120008.60696,313.819818173,367
1757500,-119919.816055,314.365912924,367
1760000,-120121.505935,317.819314645,367
1762500,-120263.468276,317.9815077,367
1765000,-118991.616576,313.363228375,367
1767500,-119472.464194,316.071033572,367
1770000,-120551.141472,312.679083496,367
1772500,-121065.881293,319.352645593,367
1775000,-120417.232558,312.107009394,367
1777500,-119892.446645,314.493440013,367
1780000,-119826.455496,315.908265052,367
1782500,-120671.577287,311.833330927,367
1785000,-120434.574835,313.788696736,367
1787500,-120565.023184,315.493932177,367
1790000,-120224.737962,314.70982734,367
1792500,-120153.345651,311.628256187,367
1795000,-119684.972976,313.832446664,367
1797500,-119508.77332,312.608958344,367
1800000,-119587.493417,315.127720013,367
1802500,-119791.472506,313.457509018,367
1805000,-119268.591168,314.08821613,367
1807500,-119778.893661,313.158607104,367
1810000,-120183.938399,318.348735934,367
1812500,-120140.460858,316.081511353,367
1815000,-120871.95309,315.358237774,367
1817500,-119889.116841,311.970045268,367
1820000,-120147.741937,315.449855348,367
1822500,-119518.266927,311.034790895,367
1825000,-120055.912538,316.597986888,367
1827500,-119697.490126,311.333680894,367
1830000,-119285.864344,313.630270363,367
1832500,-120699.431906,313.747749086,367
1835000,-119119.014685,315.127747899,367
1837500,-119826.144746,313.384807375,367
1840000,-120224.747939,310.922144446,367
1842500,-120061.919494,317.408785133,367
1845000,-120800.383946,314.279970437,367
1847500,-119965.020189,313.787867051,367
1850000,-120017.59893,315.24510805,367
1852500,-119601.603577,315.855513588,367
1855000,-120447.661262,313.008673342,367
1857500,-119387.52671,313.975737332,367
1860000,-120135.330663,315.963061107,367
1862500,-120565.284137,310.305592369,367
1865000,-119998.246648,313.19985185,367
1867500,-119994.13719,318.010624301,367
1870000,-119901.546758,318.458321733,367
1872500,-120033.316271,314.597712535,367
1875000,-119651.104,308.107818106,367
1877500,-120749.705838,315.967792698,367
